% Model:              2202_Mesh0_E1_180624.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 2 2024, 11:18
% Dimension:          3
% Nodes:              110000
% Expressions:        1
% Description:        ElectricPotential
% Length unit:        mm
% x                       y                        z                        V (V)
-0.22727                  0.9221300000000001       -2.3796                  0.11636104561565974
-0.18182                  0.9221300000000001       -2.3796                  0.11646989034629437
-0.13636                  0.9221300000000001       -2.3796                  0.11655328473534973
-0.09091                  0.9221300000000001       -2.3796                  0.1166137056315976
-0.04545                  0.9221300000000001       -2.3796                  0.11665092038966926
0                         0.9221300000000001       -2.3796                  0.11666381261861179
0.04545                   0.9221300000000001       -2.3796                  0.11665201347116236
0.09091                   0.9221300000000001       -2.3796                  0.11661499004287676
0.13636                   0.9221300000000001       -2.3796                  0.11655320862832891
0.18182                   0.9221300000000001       -2.3796                  0.11646816794504794
0.22727                   0.9221300000000001       -2.3796                  0.11635909852594008
-0.22727                  1.6848                   -2.3796                  0.10610114198025829
-0.18182                  1.6848                   -2.3796                  0.1061859781531498
-0.13636                  1.6848                   -2.3796                  0.10625249190907399
-0.09091                  1.6848                   -2.3796                  0.10629809455478291
-0.04545                  1.6848                   -2.3796                  0.10632746143548595
0                         1.6848                   -2.3796                  0.10633612692008224
0.04545                   1.6848                   -2.3796                  0.10632680861852688
0.09091                   1.6848                   -2.3796                  0.10629903641537006
0.13636                   1.6848                   -2.3796                  0.10625166967528717
0.18182                   1.6848                   -2.3796                  0.10618524922795278
0.22727                   1.6848                   -2.3796                  0.1061005915607153
-0.22727                  -2.3533                  -2.3796                  0.09553538859260953
-0.18182                  -2.3533                  -2.3796                  0.09559814086117145
-0.13636                  -2.3533                  -2.3796                  0.09564689977941039
-0.09091                  -2.3533                  -2.3796                  0.09568179320813443
-0.04545                  -2.3533                  -2.3796                  0.09570257027123857
0                         -2.3533                  -2.3796                  0.09570965923941085
0.04545                   -2.3533                  -2.3796                  0.09570299137018001
